nohup: ignoring input
in dir=/mnt/data/lmc/ukunion
out dir=/mnt/data/lmc/ukunion_label
core graph dir=/mnt/data/lmc/ukunion_tmp
bp dir=/mnt/data/lmc/ukunion_bp
max width=200
threads=2
Load Time : 1909.091182 seconds
* #{blocks} = 10, #{vertices} = 131572430
n=13288814
0 local node=13288814, local edge cnt=532549372
1 local node=13288814, local edge cnt=723128412
2 local node=13007588, local edge cnt=945853342
3 local node=13283241, local edge cnt=1350617672
4 local node=13277110, local edge cnt=965018320
5 local node=13288814, local edge cnt=924665086
6 local node=13286643, local edge cnt=1083237178
7 local node=13227083, local edge cnt=1034440528
8 local node=13288814, local edge cnt=1015047830
9 local node=12335509, local edge cnt=736099382
0 Initializing q... 
0 t=7.86429 secs
0 Initializing E...
0 t=25.5807 secs
0 Reducing Graph...
1000001 nodes reduced, score[x]=1, remaining size=92.475% t=26.592 secs
8670780 nodes reduced, score[x]=27, remaining size=34.751% t=70.847 secs
8707818 nodes reduced, score[x]=27, remaining size=34.473% t=71.293 secs
8743534 nodes reduced, score[x]=28, remaining size=34.204% t=72.049 secs
8779250 nodes reduced, score[x]=28, remaining size=33.935% t=72.457 secs
8814971 nodes reduced, score[x]=28, remaining size=33.666% t=72.816 secs
8850687 nodes reduced, score[x]=28, remaining size=33.397% t=73.245 secs
8885170 nodes reduced, score[x]=29, remaining size=33.138% t=73.962 secs
8919653 nodes reduced, score[x]=29, remaining size=32.878% t=74.362 secs
8954136 nodes reduced, score[x]=29, remaining size=32.619% t=74.813 secs
8988620 nodes reduced, score[x]=29, remaining size=32.360% t=75.469 secs
9021954 nodes reduced, score[x]=30, remaining size=32.109% t=76.082 secs
9055288 nodes reduced, score[x]=30, remaining size=31.858% t=76.459 secs
9088623 nodes reduced, score[x]=30, remaining size=31.607% t=76.932 secs
9120960 nodes reduced, score[x]=31, remaining size=31.364% t=77.669 secs
9153220 nodes reduced, score[x]=31, remaining size=31.121% t=78.053 secs
9185484 nodes reduced, score[x]=31, remaining size=30.878% t=78.483 secs
9217743 nodes reduced, score[x]=31, remaining size=30.635% t=78.934 secs
9248994 nodes reduced, score[x]=32, remaining size=30.400% t=79.674 secs
9280247 nodes reduced, score[x]=32, remaining size=30.165% t=80.270 secs
9311498 nodes reduced, score[x]=32, remaining size=29.930% t=80.718 secs
9341803 nodes reduced, score[x]=33, remaining size=29.702% t=81.499 secs
9372107 nodes reduced, score[x]=33, remaining size=29.474% t=81.988 secs
9402411 nodes reduced, score[x]=33, remaining size=29.246% t=82.426 secs
9432715 nodes reduced, score[x]=33, remaining size=29.018% t=83.265 secs
9462132 nodes reduced, score[x]=34, remaining size=28.796% t=83.748 secs
9491544 nodes reduced, score[x]=34, remaining size=28.575% t=84.304 secs
9520956 nodes reduced, score[x]=34, remaining size=28.354% t=85.102 secs
9549528 nodes reduced, score[x]=35, remaining size=28.139% t=85.582 secs
9578100 nodes reduced, score[x]=35, remaining size=27.924% t=86.081 secs
9606672 nodes reduced, score[x]=35, remaining size=27.709% t=86.696 secs
9634455 nodes reduced, score[x]=36, remaining size=27.500% t=87.336 secs
9662234 nodes reduced, score[x]=36, remaining size=27.290% t=87.820 secs
9690012 nodes reduced, score[x]=36, remaining size=27.081% t=88.264 secs
9717041 nodes reduced, score[x]=37, remaining size=26.878% t=89.057 secs
9744069 nodes reduced, score[x]=37, remaining size=26.675% t=89.545 secs
9771097 nodes reduced, score[x]=37, remaining size=26.471% t=89.891 secs
9797413 nodes reduced, score[x]=38, remaining size=26.273% t=90.724 secs
9823729 nodes reduced, score[x]=38, remaining size=26.075% t=91.136 secs
9850045 nodes reduced, score[x]=38, remaining size=25.877% t=91.588 secs
9876362 nodes reduced, score[x]=38, remaining size=25.679% t=92.180 secs
9902004 nodes reduced, score[x]=39, remaining size=25.486% t=92.862 secs
9927646 nodes reduced, score[x]=39, remaining size=25.293% t=93.270 secs
9953288 nodes reduced, score[x]=39, remaining size=25.100% t=93.790 secs
9978289 nodes reduced, score[x]=40, remaining size=24.912% t=94.479 secs
10003290 nodes reduced, score[x]=40, remaining size=24.724% t=94.894 secs
10028291 nodes reduced, score[x]=40, remaining size=24.536% t=95.345 secs
10052682 nodes reduced, score[x]=41, remaining size=24.352% t=96.199 secs
10077073 nodes reduced, score[x]=41, remaining size=24.169% t=96.642 secs
10101464 nodes reduced, score[x]=41, remaining size=23.985% t=97.090 secs
10125274 nodes reduced, score[x]=42, remaining size=23.806% t=97.942 secs
10149086 nodes reduced, score[x]=42, remaining size=23.627% t=98.322 secs
10172896 nodes reduced, score[x]=42, remaining size=23.448% t=98.796 secs
10196152 nodes reduced, score[x]=43, remaining size=23.273% t=99.652 secs
10219408 nodes reduced, score[x]=43, remaining size=23.098% t=100.130 secs
10242664 nodes reduced, score[x]=43, remaining size=22.923% t=100.575 secs
10265392 nodes reduced, score[x]=44, remaining size=22.752% t=101.347 secs
10288120 nodes reduced, score[x]=44, remaining size=22.581% t=101.671 secs
10310848 nodes reduced, score[x]=44, remaining size=22.410% t=102.094 secs
10333071 nodes reduced, score[x]=45, remaining size=22.242% t=102.961 secs
10355294 nodes reduced, score[x]=45, remaining size=22.075% t=103.371 secs
10377523 nodes reduced, score[x]=45, remaining size=21.908% t=103.749 secs
10399265 nodes reduced, score[x]=46, remaining size=21.744% t=104.633 secs
10421014 nodes reduced, score[x]=46, remaining size=21.581% t=105.077 secs
10442754 nodes reduced, score[x]=46, remaining size=21.417% t=105.803 secs
10464033 nodes reduced, score[x]=47, remaining size=21.257% t=106.394 secs
10485310 nodes reduced, score[x]=47, remaining size=21.097% t=106.789 secs
10506144 nodes reduced, score[x]=48, remaining size=20.940% t=107.707 secs
10526978 nodes reduced, score[x]=48, remaining size=20.783% t=108.105 secs
10547812 nodes reduced, score[x]=48, remaining size=20.626% t=108.696 secs
10568221 nodes reduced, score[x]=49, remaining size=20.473% t=109.465 secs
10588630 nodes reduced, score[x]=49, remaining size=20.319% t=109.909 secs
10608631 nodes reduced, score[x]=50, remaining size=20.169% t=110.861 secs
10628632 nodes reduced, score[x]=50, remaining size=20.018% t=111.311 secs
10648633 nodes reduced, score[x]=50, remaining size=19.868% t=112.076 secs
10668242 nodes reduced, score[x]=51, remaining size=19.720% t=112.614 secs
10687850 nodes reduced, score[x]=51, remaining size=19.573% t=113.012 secs
10707081 nodes reduced, score[x]=52, remaining size=19.428% t=113.961 secs
10726314 nodes reduced, score[x]=52, remaining size=19.283% t=114.356 secs
10745545 nodes reduced, score[x]=52, remaining size=19.138% t=114.903 secs
10764413 nodes reduced, score[x]=53, remaining size=18.996% t=115.613 secs
10783282 nodes reduced, score[x]=53, remaining size=18.854% t=116.028 secs
10802150 nodes reduced, score[x]=53, remaining size=18.712% t=116.740 secs
10820669 nodes reduced, score[x]=54, remaining size=18.573% t=117.384 secs
10839188 nodes reduced, score[x]=54, remaining size=18.434% t=117.922 secs
10857371 nodes reduced, score[x]=55, remaining size=18.297% t=118.747 secs
10875553 nodes reduced, score[x]=55, remaining size=18.160% t=119.219 secs
10893414 nodes reduced, score[x]=56, remaining size=18.026% t=120.109 secs
10911273 nodes reduced, score[x]=56, remaining size=17.891% t=120.549 secs
10928819 nodes reduced, score[x]=57, remaining size=17.759% t=121.424 secs
10946363 nodes reduced, score[x]=57, remaining size=17.627% t=121.868 secs
10963605 nodes reduced, score[x]=58, remaining size=17.497% t=122.774 secs
10980849 nodes reduced, score[x]=58, remaining size=17.368% t=123.251 secs
10998094 nodes reduced, score[x]=58, remaining size=17.238% t=124.040 secs
11015045 nodes reduced, score[x]=59, remaining size=17.110% t=124.520 secs
11031995 nodes reduced, score[x]=59, remaining size=16.983% t=125.232 secs
11048669 nodes reduced, score[x]=60, remaining size=16.857% t=125.809 secs
11065337 nodes reduced, score[x]=60, remaining size=16.732% t=126.524 secs
11081731 nodes reduced, score[x]=61, remaining size=16.609% t=127.166 secs
11098125 nodes reduced, score[x]=61, remaining size=16.485% t=127.611 secs
11114255 nodes reduced, score[x]=62, remaining size=16.364% t=128.498 secs
11130386 nodes reduced, score[x]=62, remaining size=16.242% t=128.990 secs
11146260 nodes reduced, score[x]=63, remaining size=16.123% t=129.903 secs
11162134 nodes reduced, score[x]=63, remaining size=16.004% t=130.583 secs
11177762 nodes reduced, score[x]=64, remaining size=15.886% t=131.404 secs
11193396 nodes reduced, score[x]=64, remaining size=15.768% t=132.343 secs
11208786 nodes reduced, score[x]=65, remaining size=15.652% t=132.851 secs
11223938 nodes reduced, score[x]=66, remaining size=15.538% t=133.822 secs
11239090 nodes reduced, score[x]=66, remaining size=15.424% t=134.512 secs
11254016 nodes reduced, score[x]=67, remaining size=15.312% t=135.316 secs
11268722 nodes reduced, score[x]=68, remaining size=15.201% t=136.274 secs
11283428 nodes reduced, score[x]=68, remaining size=15.091% t=136.810 secs
11297922 nodes reduced, score[x]=69, remaining size=14.982% t=137.810 secs
11312208 nodes reduced, score[x]=70, remaining size=14.874% t=138.782 secs
11326494 nodes reduced, score[x]=70, remaining size=14.767% t=139.622 secs
11340581 nodes reduced, score[x]=71, remaining size=14.661% t=140.411 secs
11354473 nodes reduced, score[x]=72, remaining size=14.556% t=141.353 secs
11368173 nodes reduced, score[x]=73, remaining size=14.453% t=142.409 secs
11381687 nodes reduced, score[x]=74, remaining size=14.351% t=143.436 secs
11395022 nodes reduced, score[x]=75, remaining size=14.251% t=144.477 secs
11408357 nodes reduced, score[x]=75, remaining size=14.151% t=145.502 secs
11421518 nodes reduced, score[x]=76, remaining size=14.052% t=146.392 secs
11434507 nodes reduced, score[x]=77, remaining size=13.954% t=147.239 secs
11447347 nodes reduced, score[x]=78, remaining size=13.857% t=148.243 secs
11460025 nodes reduced, score[x]=79, remaining size=13.762% t=149.271 secs
11472526 nodes reduced, score[x]=80, remaining size=13.668% t=150.245 secs
11484875 nodes reduced, score[x]=81, remaining size=13.575% t=151.280 secs
11497097 nodes reduced, score[x]=82, remaining size=13.483% t=152.330 secs
11509146 nodes reduced, score[x]=83, remaining size=13.392% t=153.480 secs
11521051 nodes reduced, score[x]=84, remaining size=13.303% t=154.516 secs
11532819 nodes reduced, score[x]=85, remaining size=13.214% t=155.750 secs
11544315 nodes reduced, score[x]=87, remaining size=13.128% t=157.021 secs
11555681 nodes reduced, score[x]=88, remaining size=13.042% t=158.097 secs
11566918 nodes reduced, score[x]=89, remaining size=12.957% t=159.114 secs
11578030 nodes reduced, score[x]=90, remaining size=12.874% t=160.130 secs
11589021 nodes reduced, score[x]=91, remaining size=12.791% t=161.209 secs
11599891 nodes reduced, score[x]=92, remaining size=12.709% t=162.288 secs
11610651 nodes reduced, score[x]=93, remaining size=12.628% t=163.545 secs
11621290 nodes reduced, score[x]=94, remaining size=12.548% t=164.874 secs
11631711 nodes reduced, score[x]=96, remaining size=12.470% t=166.010 secs
11642023 nodes reduced, score[x]=97, remaining size=12.392% t=167.026 secs
11652228 nodes reduced, score[x]=98, remaining size=12.316% t=168.145 secs
11662331 nodes reduced, score[x]=99, remaining size=12.239% t=168.858 secs
11672434 nodes reduced, score[x]=99, remaining size=12.163% t=169.330 secs
11682436 nodes reduced, score[x]=100, remaining size=12.088% t=170.575 secs
11692240 nodes reduced, score[x]=102, remaining size=12.014% t=171.746 secs
11701950 nodes reduced, score[x]=103, remaining size=11.941% t=172.755 secs
11711566 nodes reduced, score[x]=104, remaining size=11.869% t=174.015 secs
11721004 nodes reduced, score[x]=106, remaining size=11.798% t=175.311 secs
11730353 nodes reduced, score[x]=107, remaining size=11.728% t=176.323 secs
11739614 nodes reduced, score[x]=108, remaining size=11.658% t=177.656 secs
11748707 nodes reduced, score[x]=110, remaining size=11.589% t=178.848 secs
11757717 nodes reduced, score[x]=111, remaining size=11.522% t=179.891 secs
11766648 nodes reduced, score[x]=112, remaining size=11.454% t=181.336 secs
11775420 nodes reduced, score[x]=114, remaining size=11.388% t=182.421 secs
11784049 nodes reduced, score[x]=116, remaining size=11.324% t=183.865 secs
11792605 nodes reduced, score[x]=117, remaining size=11.259% t=185.105 secs
11801009 nodes reduced, score[x]=119, remaining size=11.196% t=186.343 secs
11809344 nodes reduced, score[x]=120, remaining size=11.133% t=187.313 secs
11817542 nodes reduced, score[x]=122, remaining size=11.072% t=188.708 secs
11825674 nodes reduced, score[x]=123, remaining size=11.010% t=189.824 secs
11833677 nodes reduced, score[x]=125, remaining size=10.950% t=191.172 secs
11841552 nodes reduced, score[x]=127, remaining size=10.891% t=192.617 secs
11849375 nodes reduced, score[x]=128, remaining size=10.832% t=193.921 secs
11857070 nodes reduced, score[x]=130, remaining size=10.774% t=195.212 secs
11864647 nodes reduced, score[x]=132, remaining size=10.717% t=196.722 secs
11872110 nodes reduced, score[x]=134, remaining size=10.661% t=198.272 secs
11879463 nodes reduced, score[x]=136, remaining size=10.606% t=199.295 secs
11886714 nodes reduced, score[x]=138, remaining size=10.551% t=200.640 secs
11893863 nodes reduced, score[x]=140, remaining size=10.497% t=202.082 secs
11900931 nodes reduced, score[x]=142, remaining size=10.444% t=203.426 secs
11907876 nodes reduced, score[x]=144, remaining size=10.392% t=204.874 secs
11914726 nodes reduced, score[x]=146, remaining size=10.340% t=206.439 secs
11921439 nodes reduced, score[x]=149, remaining size=10.290% t=207.933 secs
4 reduce finished, time=233.552s
11928063 nodes reduced, score[x]=151, remaining size=10.240% t=209.326 secs
11934569 nodes reduced, score[x]=154, remaining size=10.191% t=211.005 secs
11940982 nodes reduced, score[x]=156, remaining size=10.143% t=212.449 secs
11947278 nodes reduced, score[x]=159, remaining size=10.095% t=214.102 secs
11953454 nodes reduced, score[x]=162, remaining size=10.049% t=215.694 secs
11959536 nodes reduced, score[x]=165, remaining size=10.003% t=217.341 secs
11965495 nodes reduced, score[x]=168, remaining size=9.958% t=218.953 secs
11971387 nodes reduced, score[x]=170, remaining size=9.914% t=220.226 secs
11977242 nodes reduced, score[x]=171, remaining size=9.870% t=221.476 secs
11982990 nodes reduced, score[x]=174, remaining size=9.826% t=222.916 secs
11988640 nodes reduced, score[x]=177, remaining size=9.784% t=224.392 secs
11994227 nodes reduced, score[x]=179, remaining size=9.742% t=225.504 secs
11999753 nodes reduced, score[x]=181, remaining size=9.700% t=226.635 secs
2 reduce finished, time=252.302s
12005196 nodes reduced, score[x]=184, remaining size=9.659% t=228.117 secs
12010546 nodes reduced, score[x]=187, remaining size=9.619% t=229.687 secs
12015810 nodes reduced, score[x]=190, remaining size=9.580% t=231.134 secs
12021019 nodes reduced, score[x]=192, remaining size=9.540% t=232.556 secs
12026150 nodes reduced, score[x]=195, remaining size=9.502% t=233.865 secs
12031201 nodes reduced, score[x]=198, remaining size=9.464% t=235.366 secs
0 reduce finished, time=235.908s
Reordering edges...
1 reduce finished, time=277.104s
5 reduce finished, time=306.001s
6 reduce finished, time=310.769s
3 reduce finished, time=319.363s
8 reduce finished, time=335.043s
7 reduce finished, time=374.979s
9 reduce finished, time=599.628s
0 Reducing finished, t=893.282 secs
n_core=1255883,m_core=434499791,node_rate=0.095,edge_rate=0.816
1 Reducing finished, t=918.712 secs
n_core=1704395,m_core=707506308,node_rate=0.128,edge_rate=0.978
2 Reducing finished, t=918.713 secs
n_core=1505233,m_core=878891652,node_rate=0.116,edge_rate=0.929
3 Reducing finished, t=918.713 secs
n_core=1772112,m_core=1084216646,node_rate=0.133,edge_rate=0.803
4 Reducing finished, t=918.713 secs
n_core=1463138,m_core=743924715,node_rate=0.110,edge_rate=0.771
5 Reducing finished, t=918.713 secs
n_core=1831220,m_core=899263784,node_rate=0.138,edge_rate=0.973
6 Reducing finished, t=918.713 secs
n_core=1960509,m_core=997013431,node_rate=0.148,edge_rate=0.920
7 Reducing finished, t=918.713 secs
n_core=1590544,m_core=831241173,node_rate=0.120,edge_rate=0.804
8 Reducing finished, t=918.713 secs
n_core=1500185,m_core=731557435,node_rate=0.113,edge_rate=0.721
9 Reducing finished, t=918.713 secs
n_core=2109151,m_core=1080188961,node_rate=0.171,edge_rate=1.467
global_n_core = 16692370, global_m_core=8388303896, node_rate=0.126868, edge_rate=0.899378
n_threads_bp = 2
[0][1][2][3]
0 BP Label Constructed, bp_size=912.470 MB, t = 30.792 secs

2 BP Label Constructed, bp_size=893.160 MB, t = 39.501 secs

1 BP Label Constructed, bp_size=912.470 MB, t = 40.513 secs

4 BP Label Constructed, bp_size=911.667 MB, t = 42.360 secs

9 BP Label Constructed, bp_size=847.012 MB, t = 43.946 secs

5 BP Label Constructed, bp_size=912.470 MB, t = 47.377 secs

6 BP Label Constructed, bp_size=912.321 MB, t = 51.659 secs

3 BP Label Constructed, bp_size=912.088 MB, t = 52.648 secs

7 BP Label Constructed, bp_size=908.232 MB, t = 52.462 secs

8 BP Label Constructed, bp_size=912.470 MB, t = 54.543 secs
removing redundant E edges...
0E size=13288814, 2 hop dectation need 979485174567 operations, about 9794.85seconds.
1E size=13288814, 2 hop dectation need 2522212879763 operations, about 25222.1seconds.
2E size=13007588, 2 hop dectation need 1985778410936 operations, about 19857.8seconds.
3E size=13283241, 2 hop dectation need 3908515857446 operations, about 39085.2seconds.
4E size=13277110, 2 hop dectation need 4431395317752 operations, about 44314seconds.
5E size=13288814, 2 hop dectation need 6004799858274 operations, about 60048seconds.
6E size=13286643, 2 hop dectation need 5655697193620 operations, about 56557seconds.
7E size=13227083, 2 hop dectation need 3613515166954 operations, about 36135.2seconds.
8E size=13288814, 2 hop dectation need 2765728807961 operations, about 27657.3seconds.
9E size=12335509, 2 hop dectation need 15706756213557 operations, about 157068seconds.
tid 0: 47 E updated, 696.382s consumed,  construct 1.19396e-06s,  cacu 61.1574s,  update 0s,  max memory cost 0MB.  max nb cnt=64284 max buckets=0 max caculation cnt=0
tid 1: 46 E updated, 698.302s consumed,  construct 1.60187e-06s,  cacu 62.1989s,  update 0s,  max memory cost 0MB.  max nb cnt=43204 max buckets=0 max caculation cnt=0
tid 0: 265 E updated, 756.754s consumed,  construct 6.71856e-06s,  cacu 121.529s,  update 0s,  max memory cost 0MB.  max nb cnt=44491 max buckets=0 max caculation cnt=0
tid 1: 277 E updated, 758.787s consumed,  construct 7.2401e-06s,  cacu 123.525s,  update 0s,  max memory cost 0MB.  max nb cnt=19416 max buckets=0 max caculation cnt=0
tid 0: 1133 E updated, 816.904s consumed,  construct 2.98247e-05s,  cacu 181.676s,  update 0s,  max memory cost 0MB.  max nb cnt=27537 max buckets=0 max caculation cnt=0
tid 1: 1196 E updated, 818.854s consumed,  construct 3.15122e-05s,  cacu 183.126s,  update 0s,  max memory cost 0MB.  max nb cnt=13676 max buckets=0 max caculation cnt=0
tid 0: 4013 E updated, 876.955s consumed,  construct 0.000117848s,  cacu 241.722s,  update 0s,  max memory cost 0MB.  max nb cnt=53813 max buckets=0 max caculation cnt=0
tid 1: 4118 E updated, 878.975s consumed,  construct 0.000121992s,  cacu 243.727s,  update 0s,  max memory cost 0MB.  max nb cnt=19748 max buckets=0 max caculation cnt=0
tid 0: 10616 E updated, 937.008s consumed,  construct 0.000318801s,  cacu 301.766s,  update 0s,  max memory cost 0MB.  max nb cnt=33601 max buckets=0 max caculation cnt=0
tid 1: 10770 E updated, 938.993s consumed,  construct 0.000323936s,  cacu 303.735s,  update 0s,  max memory cost 0MB.  max nb cnt=8987 max buckets=0 max caculation cnt=0
tid 0: 25252 E updated, 997.043s consumed,  construct 0.000701927s,  cacu 361.787s,  update 0s,  max memory cost 0MB.  max nb cnt=30567 max buckets=0 max caculation cnt=0
tid 1: 26221 E updated, 998.996s consumed,  construct 0.000727497s,  cacu 363.738s,  update 0s,  max memory cost 0MB.  max nb cnt=2264 max buckets=0 max caculation cnt=0
tid 0: 52900 E updated, 1057.15s consumed,  construct 0.00138131s,  cacu 421.874s,  update 0s,  max memory cost 0MB.  max nb cnt=26679 max buckets=0 max caculation cnt=0
tid 1: 52920 E updated, 1059.03s consumed,  construct 0.00138193s,  cacu 423.687s,  update 0s,  max memory cost 0MB.  max nb cnt=21122 max buckets=0 max caculation cnt=0
tid 0: 81970 E updated, 1117.22s consumed,  construct 0.00207148s,  cacu 481.92s,  update 0s,  max memory cost 0MB.  max nb cnt=27968 max buckets=0 max caculation cnt=0
tid 1: 82005 E updated, 1119.03s consumed,  construct 0.00207274s,  cacu 483.728s,  update 0s,  max memory cost 0MB.  max nb cnt=11388 max buckets=0 max caculation cnt=0
tid 0: 110913 E updated, 1177.23s consumed,  construct 0.0027481s,  cacu 541.91s,  update 0s,  max memory cost 0MB.  max nb cnt=53538 max buckets=0 max caculation cnt=0
tid 1: 111345 E updated, 1179.05s consumed,  construct 0.00275974s,  cacu 543.728s,  update 0s,  max memory cost 0MB.  max nb cnt=3772 max buckets=0 max caculation cnt=0
